TSE_stat,date,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
"S&P/TSE Composite Index, close",1985-08-01,"Index, 2000=1000",176,1.3,2819.98,NA
"S&P/TSE Composite Index, close",1985-09-01,"Index, 2000=1000",176,1.3,2632.25,NA
"S&P/TSE Composite Index, close",1985-10-01,"Index, 2000=1000",176,1.3,2674.84,NA
"S&P/TSE Composite Index, close",1985-11-01,"Index, 2000=1000",176,1.3,2857.18,NA
"S&P/TSE Composite Index, close",1985-12-01,"Index, 2000=1000",176,1.3,2900.6,NA
"S&P/TSE Composite Index, close",1986-01-01,"Index, 2000=1000",176,1.3,2842.96,NA
"S&P/TSE Composite Index, close",1986-02-01,"Index, 2000=1000",176,1.3,2855.83,NA
"S&P/TSE Composite Index, close",1986-03-01,"Index, 2000=1000",176,1.3,3047.26,NA
"S&P/TSE Composite Index, close",1986-04-01,"Index, 2000=1000",176,1.3,3078.89,NA
"S&P/TSE Composite Index, close",1986-05-01,"Index, 2000=1000",176,1.3,3121.97,NA
"S&P/TSE Composite Index, close",1986-06-01,"Index, 2000=1000",176,1.3,3085.5,NA
"S&P/TSE Composite Index, close",1986-07-01,"Index, 2000=1000",176,1.3,2935.33,NA
"S&P/TSE Composite Index, close",1986-08-01,"Index, 2000=1000",176,1.3,3028.2,NA
"S&P/TSE Composite Index, close",1986-09-01,"Index, 2000=1000",176,1.3,2979.3,NA
"S&P/TSE Composite Index, close",1986-10-01,"Index, 2000=1000",176,1.3,3038.89,NA
"S&P/TSE Composite Index, close",1986-11-01,"Index, 2000=1000",176,1.3,3046.8,NA
"S&P/TSE Composite Index, close",1986-12-01,"Index, 2000=1000",176,1.3,3066.18,NA
"S&P/TSE Composite Index, close",1987-01-01,"Index, 2000=1000",176,1.3,3348.85,NA
"S&P/TSE Composite Index, close",1987-02-01,"Index, 2000=1000",176,1.3,3498.93,NA
"S&P/TSE Composite Index, close",1987-03-01,"Index, 2000=1000",176,1.3,3739.47,NA
"S&P/TSE Composite Index, close",1987-04-01,"Index, 2000=1000",176,1.3,3716.74,NA
"S&P/TSE Composite Index, close",1987-05-01,"Index, 2000=1000",176,1.3,3685.24,NA
"S&P/TSE Composite Index, close",1987-06-01,"Index, 2000=1000",176,1.3,3740.19,NA
"S&P/TSE Composite Index, close",1987-07-01,"Index, 2000=1000",176,1.3,4030.35,NA
"S&P/TSE Composite Index, close",1987-08-01,"Index, 2000=1000",176,1.3,3993.6,NA
"S&P/TSE Composite Index, close",1987-09-01,"Index, 2000=1000",176,1.3,3902.37,NA
"S&P/TSE Composite Index, close",1987-10-01,"Index, 2000=1000",176,1.3,3019.27,NA
"S&P/TSE Composite Index, close",1987-11-01,"Index, 2000=1000",176,1.3,2978.34,NA
