date,TSE_stat,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
1971-08-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,976.33,NA
1971-08-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1184.91,TRUE
1971-08-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1054.88,TRUE
1971-08-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1144.5,TRUE
1971-08-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,773.95,TRUE
1971-08-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1014.76,TRUE
1971-08-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,831.25,TRUE
1971-08-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,483.25,TRUE
1971-08-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.21,TRUE
1971-08-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,17.19,TRUE
1971-09-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,961.97,NA
1971-09-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1180.94,TRUE
1971-09-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,987.36,TRUE
1971-09-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1128.78,TRUE
1971-09-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,735.88,TRUE
1971-09-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1002.06,TRUE
1971-09-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,861.05,TRUE
1971-09-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,487.95,TRUE
1971-09-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.29,TRUE
1971-09-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.34,TRUE
1971-10-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,881.41,NA
1971-10-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1078.88,TRUE
1971-10-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,826.76,TRUE
1971-10-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1097.99,TRUE
1971-10-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,644.76,TRUE
1971-10-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,931.28,TRUE
1971-10-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,810.66,TRUE
1971-10-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,380.18,TRUE
1971-10-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.6,TRUE
1971-10-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.22,TRUE
1971-11-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,885.54,NA
1971-11-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1043.42,TRUE
1971-11-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,839.68,TRUE
1971-11-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1102.7,TRUE
1971-11-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,650.86,TRUE
1971-11-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,947.95,TRUE
1971-11-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,832.99,TRUE
1971-11-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,422.15,TRUE
1971-11-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.57,TRUE
1971-11-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,15.77,TRUE
1971-12-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,990.54,NA
1971-12-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1158.79,TRUE
1971-12-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,996.34,TRUE
1971-12-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1159,TRUE
1971-12-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,799.25,TRUE
1971-12-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1044.43,TRUE
1971-12-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,897.25,TRUE
1971-12-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,400.31,TRUE
1971-12-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,3.17,TRUE
1971-12-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,16.83,TRUE
1972-01-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1078.92,NA
1972-01-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1232.8,TRUE
1972-01-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1066.96,TRUE
1972-01-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1157.89,TRUE
1972-01-01,"TSE, paper and forest products, closing ","Index, 2000=1000",176,1.7,856.25,TRUE
1972-01-01,"TSE, merchandising, closing ","Index, 2000=1000",176,1.8,1110.15,TRUE
1972-01-01,"TSE, financial services, closing ","Index, 2000=1000",176,1.9,1060.68,TRUE
1972-01-01,"TSE, gold and silver, closing ","Index, 2000=1000",176,1.1,492.23,TRUE
1972-01-01,"TSE, stock dividend yields (composite), closing ",Percent,239,1.11,2.91,TRUE
1972-01-01,"TSE, price earnings ratio, closing ",Ratio,270,1.12,18.31,TRUE
1972-02-01,"S&P/TSE Composite Index, close","Index, 2000=1000",176,1.3,1114.89,NA
1972-02-01,"TSE, oil and gas, closing ","Index, 2000=1000",176,1.4,1254.38,TRUE
1972-02-01,"TSE, metals and minerals, closing ","Index, 2000=1000",176,1.5,1123.53,TRUE
1972-02-01,"TSE, utilities, closing ","Index, 2000=1000",176,1.6,1146.62,TRUE
